date,n_avail,win_sec,imb,path_eff,srun,mvol,dur_cv,lvl_act,sh_path,sh_srun,sh_mvol,sh_lvl,nan_reason
2012-09-13,71161,1568.8,-0.044752,0.088119,0.001,0.232449,1.336063,0.039667,0.611167,0.038462,2.153577,0.070869,
2012-09-19,12458,4915.647,0.079419,0.033318,0.002668,0.080407,1.952045,0.683,0.222458,-0.012346,0.295497,0.683317,
2012-09-20,42872,2390.75,0.050311,0.021744,-0.002001,0.052386,1.602694,0.850333,0.167224,0.076923,0.417268,0.960106,
2012-09-21,27063,2679.579,0.000439,0.005439,-0.000333,0.035896,1.197762,1.0,0.018692,0.0,0.224535,1.0,
2012-09-24,49483,2597.135,-0.020809,0.006534,-0.000667,0.04325,1.384067,1.0,0.077957,-0.023256,0.236673,1.0,
2012-09-25,12879,5258.992,-0.036973,0.008743,-0.000333,0.038543,1.606152,0.555333,0.060086,0.034483,0.18563,0.686216,
2012-09-26,37176,2364.569,-0.002227,0.036239,0.0,0.068425,1.46875,0.134,0.548872,0.0,0.361468,0.212072,
2012-09-28,17063,4453.7,0.001663,0.012743,-0.001,0.051153,1.56072,0.973333,0.092963,0.027027,0.212562,0.980845,
2012-10-01,20277,2098.853,0.005206,0.054017,0.0,0.042188,1.132672,0.522333,0.590522,0.176471,0.315804,0.55526,
2012-10-02,24754,2363.232,-0.027166,0.027864,-0.001667,0.047551,1.534842,0.250667,0.262582,0.0,0.319471,0.317574,
2012-10-03,10492,5718.768,-0.013139,0.027187,0.0,0.037234,1.651773,0.354333,0.186992,0.010526,0.173399,0.427763,
2012-10-04,16009,4768.566,0.001276,0.020727,0.000333,0.040572,1.413035,0.303,0.155678,0.025316,0.188498,0.384641,
2012-10-09,20041,1869.896,-0.047091,0.026625,0.001,0.032364,1.1601,0.338667,0.183508,0.032258,0.319349,0.480038,
2012-10-10,18782,2426.273,-0.057037,0.030212,0.001,0.043927,1.465309,0.464,0.301149,0.0,0.266946,0.54828,
2012-10-12,26119,2023.272,0.051561,0.018207,0.000333,0.028059,1.733193,0.682333,0.137809,0.212121,0.222697,0.817009,
2012-10-15,55131,1207.9,-0.071775,0.034678,0.001,0.043633,1.347869,1.0,0.310905,-0.1,0.571402,1.0,
2012-10-17,73617,1570.709,-0.021769,0.063489,0.0,0.038462,1.594473,0.253333,0.435644,0.115385,0.476159,0.434103,
2012-10-19,17868,3771.889,-0.011311,0.034509,-0.001,0.034868,1.790274,0.412333,0.174074,0.048387,0.281224,0.460539,
2012-10-23,12474,5688.14,-0.014979,0.04848,0.0,0.026478,1.950065,0.730667,0.261761,0.042553,0.132845,0.774718,
2012-10-24,17178,5207.118,-0.058615,0.070694,0.001667,0.041662,2.32744,0.238667,0.375427,0.023529,0.19109,0.257571,
2012-11-01,15423,3871.88,-0.018436,0.036647,-0.000667,0.031256,1.612623,0.347667,0.152657,0.03125,0.231372,0.378708,
2012-11-02,29745,1890.593,-0.040293,0.05452,0.000333,0.031261,1.655381,0.562,0.493671,0.032258,0.266131,0.565729,
2012-11-05,24289,2736.938,-0.110757,0.080303,0.003001,0.035979,2.185686,0.254667,0.372549,0.044444,0.330891,0.331909,
2012-11-07,30460,3126.172,-0.013645,0.045356,-0.000333,0.054154,1.528532,1.0,0.416992,0.076923,0.305834,1.0,
2012-11-08,23080,2820.841,-0.017544,0.058121,0.0,0.035228,1.910145,0.185333,0.282988,0.042553,0.334674,0.256801,
2012-11-09,74259,978.511,-0.015034,0.010545,0.0,0.084325,1.062708,0.764,0.130268,0.125,0.550687,1.0,
2012-11-12,23997,2334.745,0.003836,0.025172,-0.000333,0.046333,2.171712,0.258667,0.188931,-0.052632,0.376996,0.323,
2012-11-13,59043,1552.388,-0.118721,0.078865,0.001,0.062433,1.663215,0.053667,0.607287,0.2,0.741458,0.068966,
2012-11-14,25768,2582.152,-0.096907,0.063221,0.0,0.030012,1.781287,0.275,0.431818,0.046512,0.22294,0.298899,
2012-11-15,34231,3400.598,0.015063,0.017445,-0.000667,0.052427,1.872391,0.694667,0.172244,0.017857,0.292221,0.845187,
