# h0_tickfeat v2 (SIGNAL BAR j — Engineer BLOCKING-1 fix; v1 f1bdba72 โมฆะ) | ROLL_D=60 MIN_OBS=30 | Dukascopy M1 col6 | baseline ok-days past-only | reads day_facts date/status/traded/entry_time + h0_features asian_width ONLY (no P&L)
date,tick_sig,rel_tick_sig,rjR,asian_ticks,rel_tick_asian,tick_cov_asian,base_obs_sig
2013-06-12,112,4.22642,0.377005,10953,0.739768,1,60
2013-06-13,,,,17556,1.18574,0.993,0
2013-06-14,154,1.22709,0.229249,14865,1.00398,0.998,60
2013-06-17,,,,9943,0.670533,0.995,0
2013-06-18,20,0.645161,0.0170316,10072,0.679233,0.99,60
2013-06-19,,,,10405,0.701689,0.998,0
2013-06-20,262,4.85185,0.33612,21323,1.43797,1,60
2013-06-21,,,,28280,1.90438,0.969,0
2013-06-24,131,2.36036,0.0508563,21733,1.45957,1,60
2013-06-25,316,2.38491,0.188197,20501,1.36197,0.971,60
2013-06-26,247,4.22222,0.133372,35103,2.29799,0.993,60
2013-06-27,,,,22989,1.49434,1,0
2013-06-28,,,,30903,2.00878,0.971,0
2013-07-01,231,1.88571,0.123867,9049,0.588209,0.4,60
2013-07-02,269,3.20238,0.659004,16062,1.04407,0.969,60
2013-07-03,45,0.676692,0.119895,13986,0.888875,0.969,60
2013-07-04,,,,8549,0.543328,0.969,0
2013-07-05,111,1.65672,0.260337,6392,0.406241,0.726,60
2013-07-08,,,,15083,0.958594,0.998,0
2013-07-09,86,1.72,0.0284648,16141,1.02583,0.979,60
2013-07-10,148,1.7619,0.816406,10195,0.633171,0.983,60
2013-07-11,149,2.34646,0.129941,26284,1.63239,1,60
2013-07-12,,,,15099,0.925184,1,0
2013-07-15,,,,16049,0.996739,1,0
2013-07-16,225,2.63158,0.478488,18802,1.17106,1,60
2013-07-17,265,1.59639,1.12394,15175,0.945159,0.995,60
2013-07-18,,,,14580,0.927009,1,0
2013-07-19,339,1.76562,0.261924,14179,0.921672,0.988,60
2013-07-22,78,2.68966,0.0391443,23191,1.51818,1,60
2013-07-23,,,,15878,1.03944,1,0
2013-07-24,,,,16737,1.09568,1,0
2013-07-25,224,4.07273,0.17756,13954,0.913489,1,60
2013-07-26,,,,9832,0.647588,0.986,0
2013-07-29,135,2.09302,0.0757261,14029,0.924024,0.995,60
2013-07-30,72,0.473684,0.197568,7912,0.521126,0.988,60
2013-07-31,,,,9242,0.608727,0.99,0
2013-08-01,154,0.781726,0.379195,14045,0.925078,1,60
2013-08-02,100,3.63636,0.0273349,13727,0.904133,0.998,60
2013-08-05,99,1.88571,0.176101,10736,0.70713,1,60
2013-08-06,86,1.47009,0.0748848,12350,0.815882,0.969,60
2013-08-07,,,,14696,0.973825,0.988,0
2013-08-08,199,1.73043,0.0809561,13015,0.862435,0.998,60
2013-08-09,,,,12614,0.835862,1,0
2013-08-12,295,1.9281,0.362869,19568,1.3068,0.971,60
2013-08-13,259,4.17742,0.265306,16262,1.0776,0.998,60
2013-08-14,,,,16387,1.08258,0.969,0
2013-08-15,292,4.02759,0.654445,22181,1.46535,1,60
2013-08-16,,,,28564,1.88703,1,0
2013-08-19,,,,18434,1.21781,0.998,0
2013-08-20,,,,15997,1.05681,0.995,0
2013-08-21,,,,17039,1.12565,0.993,0
2013-08-22,,,,23261,1.5367,1,0
2013-08-23,209,1.22222,0.224734,14893,0.983881,1,60
2013-08-26,,,,17453,1.153,1,0
2013-08-27,313,5.21667,0.486486,16470,1.08806,1,60
2013-08-28,162,4.98462,0.160347,14380,0.941839,0.998,60
2013-08-29,,,,18388,1.20435,0.998,0
2013-08-30,260,4.22764,0.397647,15808,1.02756,0.998,60
2013-09-02,,,,18152,1.16303,1,0
2013-09-03,171,2.2649,0.230469,13972,0.895211,0.988,60
2013-09-04,,,,15405,0.987025,0.993,0
2013-09-05,73,2.35484,0.183962,11226,0.719316,1,60
2013-09-06,166,4.25641,0.636804,12295,0.80412,0.998,60
2013-09-09,,,,12926,0.845389,1,0
2013-09-10,,,,11731,0.767233,0.993,0
2013-09-11,,,,18137,1.1862,0.998,0
2013-09-12,291,5.15044,1.09448,14471,0.946436,1,60
2013-09-13,235,8.10345,0.884906,13674,0.89431,0.976,60
2013-09-16,111,1.80488,0.104007,15843,1.03617,0.995,60
2013-09-17,259,1.87681,0.189003,11919,0.76372,0.979,60
