# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2016-03-22,,,,,,
2016-03-23,-1,,,0,UNDEF,UNDEF
2016-03-24,1,0.4076,0.5733,1,FRESH,FRESH
2016-03-28,,,,,,
2016-03-29,-1,,,0,UNDEF,UNDEF
2016-03-30,1,0.8908,0.9509,1,FRESH,FRESH
2016-03-31,1,0.3257,0.3355,2,FRESH,FRESH
2016-04-01,1,0.5310,0.5698,1,FRESH,FRESH
2016-04-04,1,0.0000,0.0564,1,FRESH,FRESH
2016-04-05,0,0.5120,0.5857,2,OPPOSED,OPPOSED
2016-04-06,,,,,,
2016-04-07,,,,,,
2016-04-08,1,0.8292,0.8333,12,FRESH,FRESH
2016-04-11,-1,,,0,UNDEF,UNDEF
2016-04-12,1,0.9172,1.0769,1,FRESH,MID
2016-04-13,,,,,,
2016-04-14,1,1.1878,1.2853,2,MID,MID
2016-04-15,,,,,,
2016-04-18,1,0.0000,0.1611,1,FRESH,FRESH
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,1,0.0000,0.0068,1,FRESH,FRESH
2016-04-22,1,0.5420,0.6032,3,FRESH,FRESH
2016-04-25,,,,,,
2016-04-26,1,0.0000,0.0407,1,FRESH,FRESH
2016-04-27,1,0.6380,0.6471,1,FRESH,FRESH
2016-04-28,-1,,,0,UNDEF,UNDEF
2016-04-29,1,0.2354,0.2712,1,FRESH,FRESH
2016-05-02,1,0.3030,0.4332,1,FRESH,FRESH
2016-05-03,1,1.2653,1.2812,2,MID,MID
2016-05-04,1,0.4994,0.5543,2,FRESH,FRESH
2016-05-05,1,1.2047,1.2200,1,MID,MID
2016-05-06,,,,,,
2016-05-09,,,,,,
2016-05-10,1,1.4678,1.4678,2,MID,MID
2016-05-11,,,,,,
2016-05-12,1,2.6930,2.7763,2,EXTENDED,EXTENDED
2016-05-13,,,,,,
2016-05-16,-1,,,0,UNDEF,UNDEF
2016-05-17,,,,,,
2016-05-18,,,,,,
2016-05-19,-1,,,0,UNDEF,UNDEF
2016-05-20,-1,,,0,UNDEF,UNDEF
2016-05-23,1,0.5588,0.6155,1,FRESH,FRESH
2016-05-24,-1,,,0,UNDEF,UNDEF
2016-05-25,1,0.3878,0.3965,1,FRESH,FRESH
2016-05-26,1,0.5785,0.6906,2,FRESH,FRESH
2016-05-27,1,0.9026,1.0000,1,FRESH,MID
2016-05-30,,,,,,
2016-05-31,,,,,,
2016-06-01,1,0.7319,0.7333,1,FRESH,FRESH
2016-06-02,,,,,,
2016-06-03,,,,,,
2016-06-06,,,,,,
2016-06-07,,,,,,
2016-06-08,-1,,,0,UNDEF,UNDEF
2016-06-09,1,2.1386,2.2340,2,EXTENDED,EXTENDED
2016-06-10,1,1.3689,1.4126,1,MID,MID
2016-06-13,1,0.4664,0.5436,1,FRESH,FRESH
2016-06-14,1,2.2938,2.3886,4,EXTENDED,EXTENDED
2016-06-15,-1,,,0,UNDEF,UNDEF
2016-06-16,-1,,,0,UNDEF,UNDEF
2016-06-17,,,,,,
2016-06-20,1,0.3490,0.4698,2,FRESH,FRESH
2016-06-21,-1,,,0,UNDEF,UNDEF
2016-06-22,1,0.0000,0.2428,1,FRESH,FRESH
2016-06-23,1,1.8482,1.9702,4,MID,MID
2016-06-24,,,,,,
2016-06-27,,,,,,
2016-06-28,,,,,,
2016-06-29,0,-0.7866,-0.6944,1,OPPOSED,OPPOSED
2016-06-30,1,1.4532,1.5063,3,MID,MID
2016-07-01,-1,,,0,UNDEF,UNDEF
2016-07-04,,,,,,
2016-07-05,1,0.5120,0.5557,1,FRESH,FRESH
2016-07-06,-1,,,0,UNDEF,UNDEF
2016-07-07,,,,,,
2016-07-08,1,0.0839,0.1583,1,FRESH,FRESH
2016-07-11,,,,,,
2016-07-12,1,1.0000,1.0340,2,FRESH,MID
2016-07-13,,,,,,
2016-07-14,-1,,,0,UNDEF,UNDEF
2016-07-15,1,0.7502,0.8562,2,FRESH,FRESH
2016-07-18,,,,,,
2016-07-19,,,,,,
2016-07-20,,,,,,
2016-07-21,,,,,,
2016-07-22,,,,,,
2016-07-25,1,0.0904,0.1218,1,FRESH,FRESH
2016-07-26,,,,,,
2016-07-27,,,,,,
2016-07-28,1,0.0420,0.0769,1,FRESH,FRESH
2016-07-29,1,0.6414,0.8236,1,FRESH,FRESH
2016-08-01,1,0.7897,0.9631,6,FRESH,FRESH
2016-08-02,1,1.1372,1.1612,1,MID,MID
2016-08-03,,,,,,
2016-08-04,,,,,,
2016-08-05,-1,,,0,UNDEF,UNDEF
2016-08-08,1,1.0233,1.0262,1,MID,MID
2016-08-09,-1,,,0,UNDEF,UNDEF
2016-08-10,-1,,,0,UNDEF,UNDEF
2016-08-11,1,0.3583,0.4268,5,FRESH,FRESH
2016-08-12,,,,,,
2016-08-15,1,1.6842,1.6981,4,MID,MID
2016-08-16,0,1.3727,1.6667,2,OPPOSED,OPPOSED
2016-08-17,,,,,,
2016-08-18,,,,,,
2016-08-19,,,,,,
2016-08-22,,,,,,
2016-08-23,,,,,,
2016-08-24,1,0.0000,3.7251,4,FRESH,EXTENDED
2016-08-25,1,1.1168,1.1880,1,MID,MID
2016-08-26,1,1.3120,4.4791,6,MID,EXTENDED
2016-08-29,,,,,,
2016-08-30,-1,,,0,UNDEF,UNDEF
2016-08-31,1,0.9103,0.9217,1,FRESH,FRESH
2016-09-01,1,0.3870,0.4025,1,FRESH,FRESH
2016-09-02,,,,,,
2016-09-05,-1,,,0,UNDEF,UNDEF
2016-09-06,1,0.3693,0.4830,1,FRESH,FRESH
2016-09-07,,,,,,
2016-09-08,-1,,,0,UNDEF,UNDEF
2016-09-09,1,0.7407,0.7531,1,FRESH,FRESH
2016-09-12,1,0.9077,0.9646,3,FRESH,FRESH
2016-09-13,1,0.8243,0.9046,2,FRESH,FRESH
2016-09-14,,,,,,
2016-09-15,-1,,,0,UNDEF,UNDEF
2016-09-16,1,0.3129,0.3188,2,FRESH,FRESH
2016-09-19,,,,,,
2016-09-20,,,,,,
2016-09-21,1,0.4736,0.5693,1,FRESH,FRESH
2016-09-22,1,0.0000,0.6284,6,FRESH,FRESH
2016-09-23,1,0.7500,0.7594,1,FRESH,FRESH
2016-09-26,1,1.1933,1.4033,1,MID,MID
2016-09-27,,,,,,
2016-09-28,-1,,,0,UNDEF,UNDEF
2016-09-29,1,0.6352,0.7172,1,FRESH,FRESH
2016-09-30,1,2.2674,2.7442,4,EXTENDED,EXTENDED
2016-10-03,1,0.4820,0.4928,2,FRESH,FRESH
2016-10-04,1,0.5455,0.6798,1,FRESH,FRESH
2016-10-05,1,0.3926,0.4053,7,FRESH,FRESH
2016-10-06,-1,,,0,UNDEF,UNDEF
