# h0_msfeat v1 | window=1440min fixed (SLOPE_B) | delta=0.5*aw | as-of close(j-1) sequence-position | swings=DC-confirmed extremes | reads day_facts date/status/traded/entry_time/dir + features aw ONLY
date,ms_structure,ms_state,n_swings
2017-04-10,MIXED,MIXED,7
2017-04-11,,,
2017-04-12,,,
2017-04-13,MIXED,MIXED,19
2017-04-17,,,
2017-04-18,MIXED,MIXED,10
2017-04-19,,,
2017-04-20,UP,OPPOSED,19
2017-04-21,UP,OPPOSED,17
2017-04-24,,,
2017-04-25,UP,OPPOSED,7
2017-04-26,,,
2017-04-27,UP,OPPOSED,12
2017-04-28,,,
2017-05-01,,,
2017-05-02,UP,OPPOSED,17
2017-05-03,MIXED,MIXED,39
2017-05-04,MIXED,MIXED,11
2017-05-05,,,
2017-05-08,,,
2017-05-09,UP,OPPOSED,14
2017-05-10,DOWN,ALIGNED,13
2017-05-11,,,
2017-05-12,UP,ALIGNED,18
2017-05-15,UNDEF,UNDEF,2
2017-05-16,UP,ALIGNED,4
2017-05-17,UNDEF,UNDEF,1
2017-05-18,DOWN,OPPOSED,11
2017-05-19,UP,ALIGNED,12
2017-05-22,UNDEF,UNDEF,2
2017-05-23,,,
2017-05-24,UP,OPPOSED,15
2017-05-25,,,
2017-05-26,DOWN,OPPOSED,4
2017-05-29,,,
2017-05-30,,,
2017-05-31,,,
2017-06-01,,,
2017-06-02,,,
2017-06-05,MIXED,MIXED,6
2017-06-06,UNDEF,UNDEF,3
2017-06-07,,,
2017-06-08,MIXED,MIXED,15
2017-06-09,UNDEF,UNDEF,3
2017-06-12,UNDEF,UNDEF,2
2017-06-13,DOWN,ALIGNED,7
2017-06-14,MIXED,MIXED,10
2017-06-15,DOWN,ALIGNED,4
2017-06-16,UP,OPPOSED,17
2017-06-19,UNDEF,UNDEF,1
2017-06-20,UP,OPPOSED,7
2017-06-21,UP,OPPOSED,5
2017-06-22,,,
2017-06-23,UP,ALIGNED,11
2017-06-26,,,
2017-06-27,,,
2017-06-28,MIXED,MIXED,4
2017-06-29,,,
2017-06-30,UP,OPPOSED,13
2017-07-03,UNDEF,UNDEF,1
2017-07-04,,,
2017-07-05,UNDEF,UNDEF,3
2017-07-06,DOWN,ALIGNED,13
2017-07-07,MIXED,MIXED,5
2017-07-10,DOWN,ALIGNED,5
2017-07-11,UP,OPPOSED,7
2017-07-12,UP,ALIGNED,8
2017-07-13,DOWN,OPPOSED,6
2017-07-14,,,
2017-07-17,UNDEF,UNDEF,3
2017-07-18,UNDEF,UNDEF,3
2017-07-19,UP,ALIGNED,14
2017-07-20,MIXED,MIXED,4
2017-07-21,MIXED,MIXED,17
2017-07-24,MIXED,MIXED,4
2017-07-25,DOWN,OPPOSED,12
2017-07-26,DOWN,ALIGNED,9
2017-07-27,UP,ALIGNED,5
2017-07-28,MIXED,MIXED,13
2017-07-31,,,
2017-08-01,DOWN,OPPOSED,9
2017-08-02,,,
2017-08-03,,,
2017-08-04,,,
2017-08-07,UNDEF,UNDEF,3
2017-08-08,UNDEF,UNDEF,3
2017-08-09,MIXED,MIXED,5
2017-08-10,DOWN,OPPOSED,15
2017-08-11,UP,ALIGNED,6
2017-08-14,,,
2017-08-15,UNDEF,UNDEF,2
2017-08-16,UP,OPPOSED,18
2017-08-17,UNDEF,UNDEF,2
2017-08-18,UP,ALIGNED,16
2017-08-21,UNDEF,UNDEF,1
2017-08-22,,,
2017-08-23,,,
2017-08-24,,,
2017-08-25,,,
2017-08-28,UNDEF,UNDEF,3
2017-08-29,UNDEF,UNDEF,3
2017-08-30,,,
2017-08-31,,,
2017-09-01,UP,ALIGNED,14
2017-09-04,UNDEF,UNDEF,2
2017-09-05,,,
2017-09-06,,,
2017-09-07,UP,ALIGNED,18
2017-09-08,UP,ALIGNED,5
2017-09-11,MIXED,MIXED,6
2017-09-12,DOWN,ALIGNED,5
2017-09-13,UP,OPPOSED,8
2017-09-14,MIXED,MIXED,10
2017-09-15,,,
2017-09-18,UNDEF,UNDEF,3
2017-09-19,MIXED,MIXED,14
2017-09-20,,,
2017-09-21,DOWN,ALIGNED,14
2017-09-22,,,
2017-09-25,,,
2017-09-26,,,
2017-09-27,DOWN,ALIGNED,9
2017-09-28,DOWN,ALIGNED,13
2017-09-29,UP,OPPOSED,10
2017-10-02,UNDEF,UNDEF,1
2017-10-03,,,
2017-10-04,,,
2017-10-05,,,
2017-10-06,UP,OPPOSED,21
2017-10-09,,,
2017-10-10,UNDEF,UNDEF,3
2017-10-11,,,
2017-10-12,UP,ALIGNED,9
2017-10-13,UP,ALIGNED,9
2017-10-16,UNDEF,UNDEF,3
2017-10-17,,,
2017-10-18,UP,OPPOSED,11
2017-10-19,,,
2017-10-20,,,
2017-10-23,UNDEF,UNDEF,3
2017-10-24,DOWN,ALIGNED,10
2017-10-25,MIXED,MIXED,5
2017-10-26,,,
2017-10-27,MIXED,MIXED,19
2017-10-30,UNDEF,UNDEF,3
2017-10-31,MIXED,MIXED,14
2017-11-01,,,
2017-11-02,MIXED,MIXED,5
2017-11-03,,,
2017-11-06,,,
2017-11-07,,,
2017-11-08,MIXED,MIXED,14
2017-11-09,UP,ALIGNED,5
2017-11-10,,,
2017-11-13,,,
2017-11-14,DOWN,ALIGNED,10
2017-11-15,MIXED,MIXED,14
2017-11-16,,,
2017-11-17,UP,ALIGNED,5
2017-11-20,,,
2017-11-21,MIXED,MIXED,7
2017-11-22,,,
