# h0_day_facts v1 | field=SIM-SEARCH uncapped flat0.01 ea_catchup cfg={'CAPR': 1.0, 'A': 1.0, 'D': 1.0, 'SLOPE': 0.0005, 'EMA_P': 2880, 'SLOPE_B': 1440, 'allow_short': True, 'spread_mult': 1.0} | features_sha256=ed49e6cd77b1cf578f94ea5a708ab70d5de3ab693c3837f966dad2b22d8ddb5c | MED-1: ห้ามเรียก edge จากสนามนี้จนผ่าน capped+real-tick confirm
date,dow,status,bars,sess_bars,max_gap_min,first_sess_min,last_sess_min,days_since_prev,prev_ok,warmup_incomplete,asian_bars,asian_width,overnight_gap,prev_range,rv_prev,rv_pct250,range_exp,slope_08,slope_pct250,traded,entry_time,pnl,reason,dir,R,exit_date,cross_day
2014-02-20,3,ok,1379,1378,2,60,1439,1,1,0,418,5.8,0.03,13.89,0.00809619,19.2,0.771024,-0.0017759,40,1,14:48,-6.31,stop,-1,5.8,2014-02-20,0
2014-02-21,4,ok,1379,1378,2,60,1439,1,1,0,420,6.89,0,17.64,0.00841695,22.4,1.06618,9.43016e-05,52.4,1,14:32,-1.43,eod,1,6.89,2014-02-21,0
2014-02-24,0,ok,1360,1360,21,60,1439,3,1,0,420,8.32,1.33,12.5,0.0062215,4.8,0.729076,0.00241959,67.6,1,08:42,9.64,eod,1,8.32,2014-02-24,0
2014-02-25,1,ok,1380,1379,2,60,1439,1,1,0,420,5.74,0,20.22,0.007953,17.2,1.22212,0.00654228,86,1,17:01,1.12,eod,1,5.74,2014-02-25,0
2014-02-26,2,ok,1378,1377,2,60,1439,1,1,0,418,6.21,0.02,12.37,0.00777232,16,0.721493,0.00483459,81.6,1,08:04,-6.24,stop,1,6.21,2014-02-26,0
2014-02-27,3,ok,1378,1377,3,60,1439,1,1,0,419,5.94,0,23.1,0.00846412,22.4,1.39619,-0.00156679,39.2,1,10:08,-6.2,stop,-1,5.94,2014-02-27,0
2014-02-28,4,ok,1380,1379,2,60,1439,1,1,0,419,5.39,0,12.32,0.00777368,16.4,0.718577,-0.00104414,41.6,1,10:52,4.62,eod,-1,5.39,2014-02-28,0
2014-03-03,0,ok,1380,1380,1,60,1439,3,1,0,420,14.08,6.14,13.53,0.00806778,18.8,0.81777,0.0005537,55.6,1,09:08,5.33,eod,1,14.08,2014-03-03,0
2014-03-04,1,ok,1380,1379,2,60,1439,1,1,0,420,4.3,0.05,24.08,0.0094991,34.8,1.47594,0.00799953,88.8,0,,,,,,,
2014-03-05,2,hole,1200,1199,181,60,1439,1,1,0,419,5.13,0.04,21.24,0.00892399,27.2,1.29354,-0.00264077,33.2,1,12:18,-5.42,stop,-1,5.13,2014-03-05,0
2014-03-06,3,hole,1321,1320,61,60,1439,1,0,0,420,3.48,0.01,9.15,0.00620076,4,0.557247,-0.00104483,40.4,1,08:13,-3.76,stop,-1,3.48,2014-03-06,0
2014-03-07,4,ok,1381,1380,1,60,1439,1,0,0,420,4.61,-0.04,20.98,0.00688249,6.8,1.27771,0.0033524,72,0,,,,,,,
2014-03-10,0,short,1326,1326,1,70,1395,3,1,0,410,10.9,-0.25,25.22,0.0134208,74,1.53593,-0.00131724,39.2,0,,,,,,,
2014-03-11,1,ok,1334,1334,2,60,1395,1,0,0,419,6.01,1.48,16.68,0.00877213,26,0.972878,-0.000826674,42,1,18:18,4.66,eod,1,6.01,2014-03-11,0
2014-03-12,2,ok,1335,1335,1,60,1394,1,1,0,420,14.2,1.34,14.66,0.00803624,18,0.85506,0.00465151,79.2,1,08:29,4.66,eod,1,14.2,2014-03-12,0
2014-03-13,3,ok,1334,1334,2,60,1394,1,1,0,419,9.92,-0.21,25.45,0.00954534,36.4,1.54994,0.00966736,93.6,0,,,,,,,
2014-03-14,4,ok,1320,1319,2,60,1379,1,1,0,419,8.67,0.41,10.58,0.00833496,21.2,0.61709,0.00660811,85.6,1,14:38,1.42,stop,1,8.67,2014-03-14,0
