# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2018-01-02,FO,9.78,9.78,0,0.8900,1
2018-01-04,CLEAN|FRESH,8.06,-1.19,1,-1.1900,1
2018-01-11,POKED|SPENT,0.63,0.63,0,0.2700,0
2018-01-12,FO,0.72,-0.14,1,-0.1400,0
2018-01-23,FO,-4.69,-0.69,1,-0.6900,0
2018-01-24,FO,9.72,-0.06,1,-0.0600,1
2018-01-25,FO,-9.23,-9.23,0,0.0500,0
2018-01-26,FO,-0.91,-0.91,0,0.1000,0
2018-01-29,FO,2.26,-0.6,1,-0.3900,1
2018-02-07,POKED|SPENT,7.78,7.78,0,0.7400,1
2018-02-08,FO,-9.7,-0.54,1,-0.3500,0
2018-02-09,CLEAN|FRESH,2.57,2.57,0,0.8400,0
2018-02-13,POKED|FRESH,-0.34,-0.74,1,-0.7400,0
2018-02-14,CLEAN|SPENT,13.9,13.9,0,9.0500,1
2018-02-15,POKED|FRESH,-5.65,-0.34,1,-0.3400,0
2018-02-16,FO,-7.61,-1.81,1,-1.8100,0
2018-02-19,POKED|FRESH,-0.66,-1.13,1,-0.9000,0
2018-02-20,FO,9.48,9.48,0,0.2200,1
2018-02-22,FO,-4.95,-4.95,0,0.4100,0
2018-02-23,FO,-4.02,-4.02,0,0.1400,0
2018-02-26,FO,-6.73,-1.16,1,-1.1600,0
2018-03-01,FO,1.46,-0.71,1,-0.4800,1
2018-03-02,POKED|FRESH,1.67,1.67,,,0
2018-03-05,FO,-7.16,-0.33,1,-0.3300,0
2018-03-06,FO,9.44,-1.76,1,-1.7600,1
2018-03-08,CLEAN|FRESH,0.6,0.6,0,3.0400,0
2018-03-09,CLEAN|FRESH,-5.35,-5.35,0,1.8600,0
2018-03-12,CLEAN|FRESH,2.33,-0.43,1,-0.2100,1
2018-03-13,FO,-7.67,-7.67,0,0.0600,0
2018-03-16,CLEAN|SPENT,-0.23,-0.23,0,2.6500,1
2018-03-19,FO,-5.26,-1.12,1,-0.8700,0
2018-03-23,FO,7.64,7.64,0,3.1100,1
2018-03-26,POKED|SPENT,1.1,1.1,0,0.8200,0
2018-03-27,CLEAN|FRESH,-4.39,-0.03,1,-0.0300,0
2018-03-29,CLEAN|SPENT,-2.38,-1.02,1,-0.8100,0
2018-04-05,POKED|FRESH,1.45,-2.02,1,-1.8000,0
2018-04-06,FO,-7.46,-7.46,0,0.1700,0
2018-04-09,CLEAN|FRESH,1.72,1.72,0,0.0300,0
2018-04-10,CLEAN|FRESH,1.39,-2.06,1,-2.0600,0
2018-04-11,FO,8.34,8.34,0,1.9200,1
2018-04-16,POKED|FRESH,-4.06,-1.08,1,-1.0800,0
2018-04-19,FO,-7.6,-7.6,0,0.0700,0
2018-04-20,FO,3.83,-1.79,1,-1.5300,1
2018-04-23,POKED|FRESH,6.45,6.45,0,1.5500,1
2018-04-25,FO,3.6,-0.23,1,-0.0100,1
2018-04-26,CLEAN|FRESH,3.64,3.64,0,3.1300,1
2018-05-01,FO,5,-0.35,1,-0.1000,1
2018-05-04,CLEAN|FRESH,-3.14,-2.04,1,-2.0400,0
2018-05-08,FO,-6.4,-4.07,1,-3.8800,0
2018-05-09,FO,-6.89,-6.89,0,1.1300,0
2018-05-10,POKED|SPENT,1.78,1.78,0,0.4600,1
